Time,Date Updated,Song name,Song rank,Artist,Hearts (Real),Shares (Real)
23/02/2026 04:50:49,02/02/2026,Còn Gì Đẹp Hơn (Mưa Đỏ Original Soundtrack),27,Nguyễn Hùng,152922,4716
23/02/2026 04:50:49,02/02/2026,Em Thua Cô Ta (#1),28,Thiên Đình,64478,1044
23/02/2026 04:50:49,02/02/2026,Âm Thầm Bên Em,29,Sơn Tùng M-TP,317118,6019
23/02/2026 04:50:49,02/02/2026,E Là Không Thể,30,Anh Quân,213988,1290
23/02/2026 04:50:49,02/02/2026,Giờ Thì,31,buitruonglinh,188883,1761829200000
23/02/2026 04:50:49,02/02/2026,Hãy Trao Cho Anh,32,Sơn Tùng M-TP,944495,6019
23/02/2026 04:50:49,02/02/2026,Dù Cho Tận Thế,33,ERIK,259103,7679
23/02/2026 04:50:49,02/02/2026,Ngàn Năm Ánh Sáng,34,Đặng Vĩnh Thịnh,84309,1167
23/02/2026 04:50:49,02/02/2026,Những Lời Hứa Bỏ Quên,35,Vũ.,313972,5858
23/02/2026 04:50:49,02/02/2026,Pin Dự Phòng,36,Dương Domic,105816,1613
23/02/2026 04:50:49,02/02/2026,Việt Nam Tinh Hoa,37,Nguyễn Hải Phong,4503,6
23/02/2026 04:50:49,02/02/2026,50 Năm Về Sau,38,meChill,16145,574
23/02/2026 04:50:49,02/02/2026,Có Mình Và Ta,39,Nguyễn Vĩ,36118,568
23/02/2026 04:50:49,02/02/2026,Khóa Ly Biệt,40,The Masked Singer,361263,0
23/02/2026 04:50:49,02/02/2026,Hôn Vào Đây Đi,41,VSTRA,23885,682
23/02/2026 04:50:49,02/02/2026,một đời,42,14 Casper,189619,4641
23/02/2026 04:50:49,02/02/2026,Khó Vẽ Nụ Cười,43,Đạt G,554737,5190
23/02/2026 04:50:49,02/02/2026,Panorama,44,Richie D. ICY,39358,652
23/02/2026 04:50:49,02/02/2026,Wrong Times,45,Puppy,189158,3738
23/02/2026 04:50:49,02/02/2026,Exit Sign,46,HIEUTHUHAI,199768,4475
23/02/2026 04:50:49,02/02/2026,Em,47,Binz,48699,1065
23/02/2026 04:50:49,02/02/2026,Nắng Dưới Chân Mây,48,Nguyễn Hữu Kha,103394,2287
23/02/2026 04:50:49,02/02/2026,Thu Đợi,49,Wren Evans,25256,387
23/02/2026 04:50:49,02/02/2026,CHẠY NGAY ĐI,50,Sơn Tùng M-TP,628154,6019
Time,Date Updated,Song name,Song rank,Artist,Hearts (Real),Shares (Real)
23/02/2026 04:56:32,02/02/2026,Hôn Lễ Của Em,1,Trọng Nhân,75655,1876
23/02/2026 04:56:32,02/02/2026,Ai Ngoài Anh,2,VSTRA,65469,1349
23/02/2026 04:56:32,02/02/2026,Không Buông,3,Hngle,153620,3066
23/02/2026 04:56:32,02/02/2026,50 Năm Về Sau,4,F47,61517,2308
23/02/2026 04:56:32,02/02/2026,In Love,5,Low G,86292,1569
23/02/2026 04:56:32,02/02/2026,Anh Đã Không Biết Cách Yêu Em,6,Quang Đăng Trần,187809,4855
23/02/2026 04:56:32,02/02/2026,chẳng phải tình đầu sao đau đến thế,7,MIN,132955,3395
23/02/2026 04:56:32,02/02/2026,Vạn Sự Như Ý,8,Trúc Nhân,39931,1688
23/02/2026 04:56:32,02/02/2026,CHỜ ANH VỀ,9,"ANH TRAI ""SAY HI""",82329,1741
23/02/2026 04:56:32,02/02/2026,Thiệp Hồng Sai Tên,10,Nguyễn Thành Đạt,102210,2100
23/02/2026 04:56:32,02/02/2026,Kho Báu,11,(S)TRONG,174970,5193
23/02/2026 04:56:32,02/02/2026,Tấm Lòng Cửu Long,12,Ricky Star,38438,731
23/02/2026 04:56:32,02/02/2026,Hẹn Lần Sau,13,MAYDAYs,37084,595
23/02/2026 04:56:32,02/02/2026,Chất Gây Hại,14,Quang Hùng MasterD,43168,723
23/02/2026 04:56:32,02/02/2026,Dạo Này,15,Obito,37281,746
23/02/2026 04:56:32,02/02/2026,Mất Kết Nối,16,Dương Domic,394178,14100
23/02/2026 04:56:32,02/02/2026,Không Thời Gian,17,Dương Domic,90665,1605
23/02/2026 04:56:32,02/02/2026,Nơi Này Có Anh,18,Sơn Tùng M-TP,341033,6019
23/02/2026 04:56:32,02/02/2026,Người Đầu Tiên,19,Juky San,76768,418
23/02/2026 04:56:32,02/02/2026,Ngày Này Năm Ấy,20,Việt Anh,117737,1635
23/02/2026 04:56:32,02/02/2026,Trộm Vía,21,Vũ Thùy Linh,26446,555
23/02/2026 04:56:32,02/02/2026,SỚM MUỘN THÌ,22,"ANH TRAI ""SAY HI""",86083,1675
23/02/2026 04:56:32,02/02/2026,hello em có khỏe không,23,Dfoxie37,41622,669
23/02/2026 04:56:32,02/02/2026,Gió Đưa Tình,24,Wren Evans,25200,449
23/02/2026 04:56:32,02/02/2026,Bình Yên,25,Vũ.,247327,5858
23/02/2026 04:56:32,02/02/2026,NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,26,"ANH TRAI ""SAY HI""",99264,2003
23/02/2026 04:56:32,02/02/2026,Còn Gì Đẹp Hơn (Mưa Đỏ Original Soundtrack),27,Nguyễn Hùng,152923,4716
23/02/2026 04:56:32,02/02/2026,Em Thua Cô Ta (#1),28,Thiên Đình,64479,1044
23/02/2026 04:56:32,02/02/2026,Âm Thầm Bên Em,29,Sơn Tùng M-TP,317119,6019
23/02/2026 04:56:32,02/02/2026,E Là Không Thể,30,Anh Quân,213988,1290
23/02/2026 04:56:32,02/02/2026,Giờ Thì,31,buitruonglinh,188883,1761829200000
23/02/2026 04:56:32,02/02/2026,Hãy Trao Cho Anh,32,Sơn Tùng M-TP,944496,6019
23/02/2026 04:56:32,02/02/2026,Dù Cho Tận Thế,33,ERIK,259103,7679
23/02/2026 04:56:32,02/02/2026,Ngàn Năm Ánh Sáng,34,Đặng Vĩnh Thịnh,84310,1167
23/02/2026 04:56:32,02/02/2026,Những Lời Hứa Bỏ Quên,35,Vũ.,313973,5858
23/02/2026 04:56:32,02/02/2026,Pin Dự Phòng,36,Dương Domic,105816,1613
23/02/2026 04:56:32,02/02/2026,Việt Nam Tinh Hoa,37,Nguyễn Hải Phong,4503,6
23/02/2026 04:56:32,02/02/2026,50 Năm Về Sau,38,meChill,16145,574
23/02/2026 04:56:32,02/02/2026,Có Mình Và Ta,39,Nguyễn Vĩ,36119,568
23/02/2026 04:56:32,02/02/2026,Khóa Ly Biệt,40,The Masked Singer,361263,0
23/02/2026 04:56:32,02/02/2026,Hôn Vào Đây Đi,41,VSTRA,23887,682
23/02/2026 04:56:32,02/02/2026,một đời,42,14 Casper,189620,4641
23/02/2026 04:56:32,02/02/2026,Khó Vẽ Nụ Cười,43,Đạt G,554738,5190
23/02/2026 04:56:32,02/02/2026,Panorama,44,Richie D. ICY,39358,652
23/02/2026 04:56:32,02/02/2026,Wrong Times,45,Puppy,189159,3738
23/02/2026 04:56:32,02/02/2026,Exit Sign,46,HIEUTHUHAI,199768,4475
23/02/2026 04:56:32,02/02/2026,Em,47,Binz,48700,1065
23/02/2026 04:56:32,02/02/2026,Nắng Dưới Chân Mây,48,Nguyễn Hữu Kha,103395,2287
23/02/2026 04:56:32,02/02/2026,Thu Đợi,49,Wren Evans,25258,387
23/02/2026 04:56:32,02/02/2026,CHẠY NGAY ĐI,50,Sơn Tùng M-TP,628155,6019
